05:21:34 [INFO] CEREBRO: [UI] Theme changed: dark
05:21:35 [INFO] CEREBRO: [UI] Navigated to mission
05:21:35 [INFO] CEREBRO: [UI] MainWindow initialized
05:23:16 [INFO] CEREBRO: [UI] Navigated to scan
05:23:20 [INFO] CEREBRO: [UI] Navigated to scan
05:23:21 [INFO] CEREBRO: [UI] Navigated to review
05:23:29 [INFO] CEREBRO: [UI] Navigated to scan
05:23:35 [INFO] CEREBRO: [UI] Navigated to scan
05:23:36 [INFO] CEREBRO: [UI] Navigated to review
05:25:38 [INFO] CEREBRO: [UI] Navigated to mission
05:25:40 [INFO] CEREBRO: [UI] Navigated to scan
05:25:41 [INFO] CEREBRO: [UI] Navigated to review
05:25:44 [INFO] CEREBRO: [UI] Navigated to hub
05:26:15 [INFO] CEREBRO: [UI] Navigated to mission
05:26:31 [INFO] CEREBRO: [UI] Navigated to scan
